category_name,category_description,category_image,active
Triathlon,Triathlon,https://www.orca.com/uploads/microsites/neoprenos_triathlon_2_500x750.jpg,TRUE
Openwater,Openwater,https://www.orca.com/uploads/microsites/Grupo_40_500x750.png,TRUE
Swimrun,Swimrun,https://www.orca.com/uploads/microsites/categoria_destacada_swimrun_2022_500x750.jpg,TRUE
Freedive,Freedive,https://www.orca.com/uploads/microsites/neoprenos_freedive_5_500x750.jpg,TRUE
Surf,Surf,https://www.orca.com/uploads/microsites/destacado_neoprenos_hombre_1_500x750.jpg,TRUE
Swim,Swim,,FALSE
